title,authors,rating,year,month,day
Foucault's Pendulum,Umberto Eco/William Weaver,3.89,2007,3,5
Foucault's Virginity: Ancient Erotic Fiction & the History of Sexuality (Stanford Memorial Lecture),Simon Goldhill,3.73,1995,1,26
Found (Firstborn  #3),Karen Kingsbury,4.44,2006,8,1
Foundation (Foundation  #1),Isaac Asimov,4.16,2004,6,1
Foundation and Earth (Foundation #5),Isaac Asimov,4.05,2004,8,31
Foundation and Empire (Foundation #2),Isaac Asimov,4.22,2004,6,1
Foundations of Clinical Research: Applications to Practice,Leslie Gross Portney,4.12,2000,1,1
Founding Brothers: The Revolutionary Generation,Joseph J. Ellis,3.93,2002,2,5
Four & Twenty Blackbirds (Bardic Voices  #4),Mercedes Lackey,3.81,2004,2,1
Four Blondes,Candace Bushnell,2.82,2001,6,8
Four Comedies: Lysistrata / The Frogs / The Birds / Ladies' Day,Aristophanes/Dudley Fitts,4.03,2003,1,6
Four Mothers,Shifra Horn/Dalya Bilu,3.69,2000,6,10
Four Mothers at Chautuaqua,Pansy/Isabella MacDonald Alden,4.04,1997,4,30
Four Novels of the 1960s: The Man in the High Castle / The Three Stigmata of Palmer Eldritch / Do Androids Dream of Electric Sheep? / Ubik,Philip K. Dick/Jonathan Lethem,4.38,2007,5,10
Four Past Midnight,Stephen King,3.93,2004,3,2
"Four Past Midnight: Featuring ""The Langoliers""",Stephen King,3.93,1995,5,1
Four Plays: The Clouds/The Birds/Lysistrata/The Frogs,Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker,4.06,1984,11,1
Four Stupid Cupids (The Hamlet Chronicles  #4),Gregory Maguire/Elaine Clayton,3.52,2001,12,4
Four Weddings and a Funeral,Richard Curtis,3.75,1996,4,15
Four to Score (Stephanie Plum  #4),Janet Evanovich,4.17,1999,6,15
Fourth of July Mice!,Bethany Roberts/Doug Cushman,3.24,2004,5,24
Fox Evil,Minette Walters,3.6,2006,11,7
Foxmask (Saga of the Light Isles  #2),Juliet Marillier,4.1,2005,11,1
Foxmask (Saga of the Light Isles  #2),Juliet Marillier,4.1,2005,3,18
Fractal Mode (Mode  #2),Piers Anthony,3.64,1992,12,1
Fragile Things: Short Fictions and Wonders,Neil Gaiman,4.0,2006,9,26
Fragments,Jean Baudrillard/Emily Agar,3.8,2007,1,17
Frankenstein,Mary Wollstonecraft Shelley/Susan J. Wolfson,3.79,2006,7,1
Frankenstein,Mary Wollstonecraft Shelley,3.79,2006,10,30
Frankenstein,Mary Wollstonecraft Shelley/J. Paul Hunter,3.79,1995,12,17
Frankenstein,Mary Wollstonecraft Shelley,3.79,2004,1,1
Frankenstein,Mary Wollstonecraft Shelley,3.79,2004,7,30
Frankenstein  or the Modern Prometheus,Mary Wollstonecraft Shelley/Margaret Brantley,3.79,2004,5,1
Frankenstein (SparkNotes Literature Guide),SparkNotes/Mary Wollstonecraft Shelley,3.5,2002,1,10
Frankenstein Makes a Sandwich,Adam Rex,4.21,2006,9,1
Franny and Zooey,J.D. Salinger,3.98,2001,1,30
Franz Kafka: The Complete Stories,Franz Kafka/Nabum N. Glazer/John Updike,4.35,1987,1,1
Freak Show: Presenting Human Oddities for Amusement and Profit,Robert Bogdan,3.88,1990,5,15
Freak the Mighty (Freak The Mighty  #1),Rodman Philbrick,4.01,2001,6,1
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,2006,12,8
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,2006,10,17
Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,3.97,2006,8,1
Freaks of the Storm: From Flying Cows to Stealing Thunder: The World's Strangest True Weather Stories,Randy Cerveny,3.17,2006,12,29
Freaks!: How to Draw Fantastic Fantasy Creatures,Steve  Miller,4.06,2004,6,1
Free Play: Improvisation in Life and Art,Stephen Nachmanovitch,4.14,1991,5,1
Freedom Evolves,Daniel C. Dennett,3.83,2004,1,27
Freedom Riders: John Lewis and Jim Zwerg on the Front Lines of the Civil Rights Movement,Ann Bausum,3.98,2005,12,27
Friday,Robert A. Heinlein,3.84,1997,6,17
Friends  Lovers  Chocolate (Isabel Dalhousie  #2),Alexander McCall Smith,3.62,2005,9,20
Frogs & French Kisses (Magic in Manhattan  #2),Sarah Mlynowski,3.97,2006,6,13
Frogs/Assemblywomen/Wealth (Loeb Classical Library 180),Aristophanes/Jeffrey Henderson,4.21,2002,5,1
From Babylon to Timbuktu: A History of the Ancient Black Races Including the Black Hebrews,Rudolph R. Windsor/El Hagahn,4.31,2006,8,25
From Far Away,Robert Munsch/Michael Martchenko/Saoussan Askar,4.0,1995,2,1
From Far Away  Vol. 01,Kyoko Hikawa/Trina Robbins/Yuko Sawada/Walden Wong,4.31,2004,11,9
From Far Away  Vol. 12,Kyoko Hikawa/Yuko Sawada/Freeman Wong,4.43,2006,9,12
From Far Away  Vol. 13,Kyoko Hikawa/Yuko Sawada/Freeman Wong,4.48,2006,11,14
From Far Away  Vol. 14,Kyoko Hikawa/Yuko Sawada/Freeman Wong,4.5,2007,1,9
From Glencoe to Stirling: Rob Roy  the Highlanders & Scotlands Chivalric Age (Tales of a Scottish Grandfather 3),Walter Scott/George Grant,3.7,2000,10,20
From Hinton to Hamlet: Building Bridges between Young Adult Literature and the Classics,Sarah K. Herz/Donald R. Gallo,4.01,2005,9,1
From Nomads to Pilgrims: Stories from Practicing Congregations,Diana Butler Bass,4.0,2005,12,30
From Potter's Field (Kay Scarpetta  #6),Patricia Cornwell,4.04,2005,8,30
From Sawdust to Stardust: The Biography of DeForest Kelley,Terry Lee Rioux,4.08,2005,2,1
From Socrates to Sartre: The Philosophic Quest,T.Z. Lavine,3.94,1985,1,1
From a Buick 8,Stephen King,3.45,2002,9,24
From a Limestone Ledge: Some Essays and Other Ruminations about Country Life in Texas,John Graves/Glenn Wolff/Bill Wittliff,4.31,2004,5,19
From the Age of Discovery to a World at War (America: The Last Best Hope #1),William J. Bennett,4.24,2006,5,23
From the Corner of His Eye,Dean Koontz/Stephen Lang,4.03,2000,12,26
From the Earth to the Moon (Extraordinary Voyages  #4),Jules Verne,3.78,2006,10,1
Frost,Thomas Bernhard/Michael Hofmann,3.88,2006,10,17
Fucked By Rock + Cd,Mark Manning,3.96,2001,10,1
Fudge-a-Mania (Fudge  #4),Judy Blume,4.01,2004,1,6
Fugitive Pieces,Anne Michaels,3.93,1998,5,26
Fugitive Prince (Wars of Light and Shadow  #4),Janny Wurts,3.89,1998,9,8
Fugitives and Refugees: A Walk in Portland  Oregon,Chuck Palahniuk,3.51,2003,7,8
Fulgor oculto (Landry  #3),V.C. Andrews/Elisa Cerdan,3.89,2002,1,22
Full Blast (Full #4),Janet Evanovich/Charlotte Hughes,3.83,2004,4,19
Full Circle: A South American Journey,Luis Sepúlveda/Chris Andrews,3.77,1996,12,31
Full House: The Spread of Excellence from Plato to Darwin,Stephen Jay Gould,3.96,1997,9,16
Full Moon (Blandings Castle  #7),P.G. Wodehouse,4.17,2006,11,23
Full Speed (Full  #3),Janet Evanovich/Charlotte Hughes,3.83,2003,11,3
Full Steam Ahead!: Unleash the Power of Vision in Your Work and Your Life,Kenneth H. Blanchard/Jesse Stoner,3.76,2004,10,1
Full Woman  Fleshly Apple  Hot Moon: Selected Poems,Pablo Neruda/Stephen Mitchell,4.45,1998,2,11
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.5,2005,5,3
Fullmetal Alchemist  Vol. 10,Hiromu Arakawa/Akira Watanabe,4.6,2006,11,21
Fullmetal Alchemist  Vol. 11 (Fullmetal Alchemist  #11),Hiromu Arakawa/Akira Watanabe,4.59,2007,1,16
Fullmetal Alchemist  Vol. 12 (Fullmetal Alchemist  #12),Hiromu Arakawa/Akira Watanabe,4.6,2007,3,20
Fullmetal Alchemist  Vol. 14 (Fullmetal Alchemist  #14),Hiromu Arakawa/Akira Watanabe,4.59,2007,8,14
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52,2005,7,5
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,2005,9,13
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,2005,11,8
Fullmetal Alchemist  Vol. 5 (Fullmetal Alchemist  #5),Hiromu Arakawa/Akira Watanabe,4.56,2006,1,10
Fullmetal Alchemist  Vol. 6 (Fullmetal Alchemist  #6),Hiromu Arakawa/Akira Watanabe,4.58,2006,3,21
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,2006,7,18
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,2006,9,19
Fullmetal Alchemist: The Abducted Alchemist (Fullmetal Alchemist  #2),Makoto Inoue/Hiromu Arakawa/Alexander O. Smith/Rich Amtower,4.57,2006,1,10
Fun Home: A Family Tragicomic,Alison Bechdel,4.08,2006,6,8
Fundamentals of Heat and Mass Transfer [with IHT/FEHT 3.0 CD with User Guide Set],Frank P. Incropera/David P. DeWitt,3.99,2006,10,30
Furies of Calderon (Codex Alera  #1),Jim Butcher,4.12,2005,6,28
Fury,Salman Rushdie,3.29,2002,9,5
Fuselfieber,David Sedaris/Harry Rowohlt,3.79,2002,4,1
Gabriel Garcia Marquez's Love in the Time of Cholera: A Reader's Guide,Thomas Fahy,4.24,2003,4,10
Gabriel García Márquez: One Hundred Years of Solitude,Michael  Wood,4.54,1990,5,31
Gai-Jin (Asian Saga  #3),James Clavell,3.86,1994,4,3
Gain,Richard Powers,3.77,2001,11,1
Galactic Effectuator,Jack Vance,3.69,1981,11,1
Galactic Goodnight (Disney's Little Einsteins),Susan Ring/Kirk Albert Etienne,4.42,2006,9,1
Galapagos: A Natural History,Michael H. Jackson,3.88,1994,6,30
Galapagos: World's End,William Beebe,3.84,1988,5,1
Galatea 2.2,Richard Powers,3.72,2004,1,1
Gale Gand's Short + Sweet : Quick Desserts with Eight Ingredients or Less,Gale Gand/Julia Moskin/Tim Turner,3.71,2004,1,13
Galileo's Daughter,Dava Sobel,3.76,2000,9,15
Galileo's Daughter: A Historical Memoir of Science  Faith and Love,Dava Sobel,3.76,2000,11,1
Galápagos,Kurt Vonnegut Jr.,3.88,1999,1,12
Galápagos,Kurt Vonnegut Jr.,3.88,1994,6,1
Game of Shadows: Barry Bonds  BALCO  and the Steroids Scandal that Rocked Professional Sports,Mark Fainaru-Wada/Lance Williams,3.81,2007,3,1
Garden State,Rick Moody,3.07,2002,8,19
Gardening with a Wild Heart: Restoring California's Native Landscapes at Home,Judith Larner Lowry,4.29,2007,3,19
Gargantua and Pantagruel,François Rabelais/M.A. Screech,3.71,2006,10,26
Gargantua and Pantagruel,François Rabelais/Thomas Urquhart/Pierre Le Motteux,3.71,1994,5,10
Gary Grizzle,Roger Hargreaves/Gray Jolliffe,4.33,1989,10,14
Gates of Fire,Steven Pressfield,4.42,2005,9,27
Gathering Blue (The Giver  #2),Lois Lowry,3.82,2000,9,25
Gatsby's Girl,Caroline Preston,3.54,2006,5,1
Geek Love,Katherine Dunn,3.97,2002,6,11
Gefahr im Roten Meer (Treason's Harbour) (Aubrey/Maturin Book 9),Patrick O'Brian,4.38,2002,5,1
Geis of the Gargoyle (Xanth #18),Piers Anthony,3.71,1995,10,15
Geisha,Liza Dalby,4.0,1998,10,1
Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93,2003,5,6
Geisha: The Life  the Voices  the Art,Jodi Cobb/Ian Buruma,3.9,1998,10,27
Gemma Alone (Gemma  #3),Noel Streatfeild,3.61,1987,2,1
Generation of Swine: Tales of Shame and Degradation in the '80's,Hunter S. Thompson,3.78,2003,11,6
Genetics and the Origin of Species,Theodosius Dobzhansky/Niles Eldredge/Stephen Jay Gould,4.14,1982,7,22
Genome: the Autobiography of a Species in 23 Chapters,Matt Ridley,4.04,2006,5,30
Genres in Dialogue: Plato and the Construct of Philosophy,Andrea Wilson Nightingale,4.33,2000,4,13
Gentlemen and Players,Joanne Harris,3.91,2006,1,3
George Eliot: The Last Victorian,Kathryn  Hughes,4.05,2001,7,2
George Washington and Benedict Arnold: A Tale of Two Patriots,Dave R. Palmer,4.27,2006,8,1
George Washington's Rules of Civility & Decent Behavior in Company and Conversation (Little Books of Wisdom),George Washington,4.08,1989,8,1
George Washington's Sacred Fire,Peter A. Lillback/Jerry Newcombe,4.18,2011,5,31
Gerald's Game,Stephen King,3.51,1992,9,1
Germinal,Émile Zola/Roger Pearson,4.13,2004,1,29
Gerontius,James Hamilton-Paterson,3.74,2002,4,17
Gertrud,Hermann Hesse,3.85,1983,1,1
Gertrud The Great Of Helfta: Spiritual Exercises,Gertrude the Great/Gertrud Jaron Lewis,3.43,1989,11,1
Get Out of My Life  but First Could You Drive Me & Cheryl to the Mall?,Anthony E. Wolf,3.96,2002,8,21
Get Out of Your Mind and Into Your Life: The New Acceptance and Commitment Therapy,Steven C. Hayes/Spencer  Smith,4.05,2005,11,1
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,2004,11,15
Getting Rid of Bradley,Jennifer Crusie,3.71,2001,10,25
Getting Things Done When You Are Not in Charge,Geoffrey M. Bellman,3.46,2001,8,27
Getting Things Done: The Art of Stress-Free Productivity,David    Allen,3.99,2002,12,31
Getting a Grip on the Basics: Building a Firm Foundation for the Victorious Christian Life,Beth A. Jones,4.67,2006,5,1
Getting the Girl (Wolfe Brothers  #3),Markus Zusak,3.7,2004,6,1
Ghost Hunter (Ghost Hunters  #3),Jayne Castle/Jayne Ann Krentz,4.14,2006,5,30
Ghost Hunters: William James and the Search for Scientific Proof of Life After Death,Deborah Blum,3.7,2006,8,3
Ghost In the Shell 2: Innocence: After the Long Goodbye,Masaki Yamada/Yuji Oniki/Carl Gustav Horn,3.97,2005,10,11
Ghost Ship: A Cape Cod Story,Mary Higgins Clark/Wendell Minor,3.73,2007,4,3
Ghost Stories (Nancy Drew),Carolyn Keene,3.75,1989,10,1
Ghost Story,Peter Straub,3.95,1989,9,1
Ghost in the Shell,Masamune Shirow,4.18,2005,2,25
Ghost in the Shell (Ghost in the Shell  #1),Masamune Shirow,4.18,2006,6,20
Ghost in the Shell 2: Innocence: After The Long Goodbye,Masaki Yamada/Yuji Oniki/Carl Gustav Horn/Daigo Shinma/Keita Saeki/Mamoru Oshii/Shinji Maki,3.97,2007,7,17
Ghosthunters and the Incredibly Revolting Ghost (Ghosthunters  #1),Cornelia Funke,3.73,2006,8,1
Ghosthunters and the Muddy Monster of Doom! (Ghosthunters  #4),Cornelia Funke/Helena Ragg-Kirkby,3.93,2007,4,1
Ghosts,John Banville,3.61,1998,12,17
Ghosts (The New York Trilogy  #2),Paul Auster,3.64,1987,7,7
Ghosts and Grisly Things,Ramsey Campbell/Jack Dann/Dennis Etchison,3.73,2001,10,11
Ghosts of Gettysburg III: Spirits  Apparitions  and Haunted Places of the Battlefield,Mark Nesbitt,4.03,1995,10,1
Ghostwritten,David Mitchell,4.05,2001,10,9
Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,3.96,2006,4,4
Gideon's Trumpet: How One Man  a Poor Prisoner  Took His Case to the Supreme Court-And Changed the Law of the United States,Anthony  Lewis,3.91,1989,4,23
Gift from the Sea,Anne Morrow Lindbergh,4.17,1991,10,8
Gifted Hands: The Ben Carson Story,Ben Carson/Cecil Murphey,4.21,1996,11,26
Gifts (Annals of the Western Shore  #1),Ursula K. Le Guin,3.7,2006,4,1
Gilda Joyce: Psychic Investigator (Gilda Joyce  #1),Jennifer Allison,3.89,2006,11,23
Gilliam on Gilliam (Directors on Directors),Terry Gilliam/Ian Christie,4.1,1999,11,15
Gimpel the Fool and Other Stories,Isaac Bashevis Singer/Saul Bellow/Allegra Goodman,4.16,2006,1,10
Gimpel the Fool: And Other Stories,Isaac Bashevis Singer/Saul Bellow,4.16,1988,12,31
Giovanni and Lusanna: Love and Marriage in Renaissance Florence,Gene A. Brucker,3.57,2004,12,14
Giraffes Can't Dance,Giles Andreae/Guy Parker-Rees/Hugh Laurie,4.3,2006,6,1
Girl  Interrupted: Screenplay based on the book,James Mangold/Anna Hamilton Phelan/Lisa Loomer/Susanna Kaysen,4.02,2000,2,21
Girl (Girl  #1),Blake Nelson,3.76,1994,9,13
Girl Meets Ape,Chris Manby,3.46,2004,1,5
Girl in the Shadows (Shadows  #2),V.C. Andrews,3.81,2006,3,7
Girl with a Pearl Earring,Tracy Chevalier,3.88,2003,9,30
Girlfriend in a Coma,Douglas Coupland,3.62,1999,3,1
Girls Think of Everything: Stories of Ingenious Inventions by Women,Catherine Thimmesh/Melissa Sweet,4.15,2002,3,11
Girls in Pants: The Third Summer of the Sisterhood (Sisterhood  #3),Ann Brashares,3.83,2006,6,13
Girls' Night In,Jessica Adams/Chris Manby/Fiona Walker,3.26,2000,7,3
Girls' Night In,Lauren Henderson/Chris Manby/Sarah Mlynowski/Jill A. Davis/Stella Duffy/Lisa Jewell/Marian Keyes/Sophie Kinsella/Adèle Lang/Carole Matthews/Anna Maxted/Megan McCafferty/Alisa Valdes/Isabel Wolff/Meg Cabot/Jessica Adams/Louise Bagshawe/Emily Barr/Jenny Colgan/Lynda Curnyn/Jennifer Weiner,3.63,2004,8,25
Gita on the Green,Stephen J. Rosen/Steven Pressfield,3.78,2002,5,30
Giving Good Weight,John McPhee,4.23,1994,4,1
Glamorama,Bret Easton Ellis/Pierre Guglielmina,3.46,2001,2,15
Glamorama,Bret Easton Ellis,3.46,2010,2,22
Glamorama,Bret Easton Ellis,3.46,2000,3,21
Glamorous Powers (Starbridge  #2),Susan Howatch,4.19,1996,7,22
Glass House,Philip Johnson/Toshio Nakamura,4.0,2007,5,10
Glass Houses (The Morganville Vampires  #1),Rachel Caine,3.92,2006,10,3
Glass Soup  (Vincent Ettrich  #2),Jonathan Carroll,3.88,2006,11,28
Glasshouse,Charles Stross,3.87,2006,6,27
Glittering Images (Starbridge  #1),Susan Howatch,4.07,1996,7,22
Gloriana,Michael Moorcock,3.65,2004,8,1
Go Down  Moses,William Faulkner,3.93,1991,1,30
Go Jump in the Pool! (Macdonald Hall  #2),Gordon Korman,4.16,1991,1,1
Goat Girls (Weetzie Bat  #2-3),Francesca Lia Block,4.42,2004,7,6
Goblin Moon (The Goblin Moon Duology #1),Teresa Edgerton,3.79,1991,2,1
God Bless You  Dr. Kevorkian,Kurt Vonnegut Jr.,3.84,2001,5,22
God Bless You  Mr. Rosewater,Kurt Vonnegut Jr.,3.96,1998,9,8
God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen Hawking,4.07,2005,10,4
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,1987,6,15
God Emperor of Dune (Dune Chronicles #4),Frank Herbert,3.84,2003,3,13
God Knows,Joseph Heller,3.8,1997,11,12
God of Tarot (Tarot  #1),Piers Anthony,3.45,1987,3,1
God's Covenant with Animals: A Biblical Basis for the Humane Treatment of All Creatures,J.R. Hyland,4.0,2000,6,1
God's Generals Why They Succeeded and Why Some Fail,Roberts Liardon,4.45,2000,11,1
Goddess of Light (Goddess Summoning  #3),P.C. Cast,4.04,2005,4,5
Goddess of Love (Goddess Summoning  #5),P.C. Cast,4.06,2007,6,5
Goddess of Spring (Goddess Summoning  #2),P.C. Cast,4.21,2004,8,3
Goddess of the Rose (Goddess Summoning  #4),P.C. Cast,4.14,2006,2,7
Goddess of the Sea (Goddess Summoning  #1),P.C. Cast,3.87,2003,10,7
Godless,Pete Hautman,3.6,2005,11,1
Godslayer (The Sundering  #2),Jacqueline Carey,3.7,2006,6,27
Going After Cacciato,Tim O'Brien,3.91,1999,9,1
Going Native,Stephen Wright,3.58,2005,4,12
Going Postal (Discworld  #33),Terry Pratchett,4.38,2004,9,28
Going Potty,Eoin Colfer,3.14,1999,10,1
Going Solo (Roald Dahl's Autobiography  #2),Roald Dahl/Quentin Blake,4.08,2001,4,5
Going on Being: Buddhism and the Way of Change,Mark Epstein,3.99,2002,2,12
Going to Meet the Man,James Baldwin,4.35,1995,4,25
Going to Pieces Without Falling Apart: A Buddhist Perspective on Wholeness,Mark Epstein/Charlie Conrad,3.9,1999,6,1
Gold Rage (Wilderness  #27),David   Robbins/David Thompson,4.31,1999,5,1
Gold: The Final Science Fiction Collection,Isaac Asimov/Orson Scott Card,4.0,2003,10,21
Golden Buddha (Oregon Files  #1),Clive Cussler/Craig Dirgo,3.9,2005,3,24
Golden Urchin,Madeleine Brent,4.09,1987,11,12
Goldfinger (James Bond  #7),Ian Fleming,3.8,2002,8,27
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,2000,6,13
Gone Bamboo,Anthony Bourdain,3.48,2002,5,1
Gone South,Robert R. McCammon,3.93,1993,8,1
Gone for Good,Harlan Coben,4.1,2003,3,4
Gone for Soldiers: A Novel of the Mexican War,Jeff Shaara,4.14,2001,7,3
Gone with the Wind,Margaret Mitchell,4.29,1999,4,1
Good Faith,Jane Smiley,3.26,2004,5,11
Good Grief: The Story of Charles M. Schulz,Rheta Grimsley Johnson,3.72,1989,12,31
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter  Witch,Terry Pratchett/Neil Gaiman,4.25,2007,8,7
Good Poems,Garrison Keillor,4.18,2003,8,26
Good Poems for Hard Times,Garrison Keillor/Charles Bukowski/Robert Burns/Hayden Carruth/Raymond Carver/Billy Collins/Noël Coward/Carl Dennis/E.E. Cummings/Emily Dickinson/Stephen Dobyns/Fleur Adcock/John Donne/Rita Dove/Stephen Dunn/Lawrence Ferlinghetti/Robert Frost/Erica Funkhouser/Donald Hall/Patricia Hampl/Thomas Hardy/Jim Harrison/W.H. Auden/Jennifer Michael Hecht/David Ignatow/John Keats/X.J. Kennedy/Jane Kenyon/Galway Kinnell/Maxine Kumin/Kate Light/Henry Wadsworth Longfellow/Louis MacNeice/Hilaire Belloc/Herman Melville/W.S. Merwin/Edna St. Vincent Millay/Howard Nemerov/Sharon Olds/Mary Oliver/Grace Paley/Lawrence Raab/Kenneth Rexroth/Wendell Berry/Carl Sandburg/John Berryman/Elizabeth Bishop/William Blake/Philip   Booth/Virginia Hamilton Adair/Liesl Mueller,4.14,2006,8,29
Good Soldier Svejk And His Fortunes In The World,Jaroslav Hašek,4.11,2000,10,3
Good as Gold,Joseph Heller,3.36,1997,11,12
Good in Bed (Cannie Shapiro  #1),Jennifer Weiner,3.72,2002,4,2
Good-Bye  Chunky Rice,Craig Thompson,3.8,2006,5,9
Goodbye  Darkness: A Memoir of the Pacific War,William Manchester,4.18,2002,4,12
Goodbye Forever (Sweet Dreams  #72),Barbara Conklin,3.76,1984,12,31
Goodman & Gilman's the Pharmacological Basis of Therapeutics,Laurence L. Brunton/John S. Lazo/Keith  L. Parker,4.29,2005,9,21
Goodnight Moon,Margaret Wise Brown/Clement Hurd,4.28,2007,1,23
Goodnight Moon 123: A Counting Book (Over the Moon),Margaret Wise Brown/Clement Hurd,3.57,2007,7,1
Goodnight Nobody,Jennifer Weiner,3.65,2006,5,2
Gorgias,Plato/Walter Hamilton/Chris Emlyn-Jones,3.95,2004,1,29
Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.,4.35,1998,9,1
Gorgias/Timaeus,Plato/Benjamin Jowett,3.74,2003,7,15
Gossamer,Lois Lowry,3.9,2006,4,24
Gossip Girl (Gossip Girl  #1),Cecily von Ziegesar,3.52,2002,4,1
Goth-Icky: A Macabre Menagerie of Morbid Monstrosities,Michael J. Nelson/Charles S. Anderson Design Company/Pop Ink,3.65,2005,9,1
Gould's Book of Fish: A Novel in Twelve Fish,Richard Flanagan,3.69,2003,3,15
GraceLand,Chris Abani,3.78,2005,1,26
Grammar Snobs Are Great Big Meanies: A Guide to Language for Fun and Spite,June Casagrande,3.78,2006,3,28
Grand Conspiracy (Wars of Light & Shadow #5; Arc 3 - Alliance of Light  #2),Janny Wurts,4.11,2007,11,5
Grand Finales: A Modernist View of Plated Desserts,Tish Boyle/Timothy Moriarty,4.24,1997,11,7
Grand Theft Auto: San Andreas Official Strategy Guide,Rick Barba,4.04,2004,10,25
Grandma Baa (Easy Peasy People),Roger Hargreaves/Gray Jolliffe,4.12,1989,10,14
Granta 7,Bill Buford/Clive Sinclair/Graham Swift/Martin Amis/Rose Tremain/A.N. Wilson/Pat Barker/Julian Barnes/Ursula Bentley/William Boyd/Buchi Emecheta/Alan Judd/Maggie Gee/Kazuo Ishiguro/Adam Mars-Jones/Ian McEwan/Shiva Naipaul/Philip Norman/Christopher Priest/Salman Rushdie/Lisa St. Aubin de Terán,3.94,2013,4,1
Granta 85: Hidden Histories,Ian Jack,3.83,2004,5,7
Graphic Design Now,Charlotte Fiell/Peter Fiell,3.43,2005,11,1
Graphic Design Solutions,Robin Landa,4.04,2005,4,27
Graphic Design: A Concise History (World of Art),Richard Hollis,4.0,2002,5,17
Graphic Storytelling and Visual Narrative,Will Eisner,4.08,1996,10,1
Grasping God's Word: A Hands-On Approach to Reading  Interpreting  and Applying the Bible,J. Scott Duvall/J. Daniel Hays,4.17,2005,8,2
Gravitation #2,Maki Murakami,3.99,2004,6,30
Gravity's Rainbow,Thomas Pynchon,4.01,2000,1,1
Gravity's Rainbow,Thomas Pynchon,4.01,2006,10,31
Gray Matter and Other Stories from Night Shift,Stephen King/John  Glover,3.93,1993,8,1
Greasy Lake & Other Stories,T. Coraghessan Boyle,3.94,1986,5,6
Great Expectations,Charles Dickens/David Trotter/Charlotte Mitchell,3.77,2002,12,31
Great Expectations,Charles Dickens,3.77,1994,1,13
Great Expectations,Kathy Acker,3.59,1994,1,18
Great Expectations,Charles Dickens/Linda Jennings,3.77,1995,6,1
Great Expectations: Authoritative Text  Backgrounds  Contexts  Criticism,Charles Dickens/Edgar Rosenberg,3.77,1999,1,19
Great Jones Street,Don DeLillo,3.48,1994,1,1
Great Russian Short Stories,Paul Negri/Alexander Pushkin/Maxim Gorky/Aleksandr Ivanovich Kuprin/Leonid Andreyev/Nikolai Gogol/Ivan Turgenev/Fyodor Dostoyevsky/Leo Tolstoy/Nicholay Leskov/Vsevolod Garshin/Anton Chekhov/Theodor Sologub,4.02,2003,7,29
Great Short Stories by American Women,Candace Ward,3.96,1996,2,5
Great Short Works,Edgar Allan Poe/Gary Richard Thompson,4.26,1970,11,28
Great Short Works of Fyodor Dostoevsky,Fyodor Dostoyevsky/Ronald Hingley,4.42,2004,7,6
Great Short Works of Herman Melville,Herman Melville/Warner Berthoff,4.04,2004,3,2
Great Speeches by African Americans: Frederick Douglass  Sojourner Truth  Dr. Martin Luther King  Jr.  Barack Obama  and Others,James Daley/Barack Obama/Martin Luther King Jr.,4.3,2006,4,28
Greek Lyrics,Richmond Lattimore,3.98,1960,9,15
Greek Tragedies  Volume 2,David Grene/Richmond Lattimore/Aeschylus/Sophocles/Euripides,4.29,1960,2,15
Green Arrow  Vol. 1: Quiver,Kevin Smith/Phil Hester/Ande Parks,4.07,2008,12,16
Green Hills of Africa,Ernest Hemingway/Edward Shenton,3.56,2004,3,4
Grendel: Devil by the Deed,Matt Wagner/Rich Rankin/Chris Pitzer/Diana Schutz,4.08,2007,3,27
Grey Eminence,Aldous Huxley,4.16,2005,4,7
Grief Lessons: Four Plays by Euripides,Anne Carson/Euripides,4.4,2006,8,1
Grimus,Salman Rushdie,3.41,2003,9,30
Grizzwold,Syd Hoff,3.82,1984,9,5
